 8037 xpcproxy	Created        /private/var/tmp/cy-jO4Dn2.dylib	
 8037 xpcproxy	Deleted        /private/var/tmp/cy-jO4Dn2.dylib	
 8037 xpcproxy	Modified       /private/var/tmp/cy-jO4Dn2.dylib	
 8037 xpcproxy	Created        /private/var/tmp/cy-qurtCZ.dylib	
 8037 xpcproxy	Deleted        /private/var/tmp/cy-qurtCZ.dylib	
 8037 xpcproxy	Modified       /private/var/tmp/cy-qurtCZ.dylib	
 8039 	Modified       /private/var/root/out.exec	
  286 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	
  286 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QJOTQbn	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	
  286 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.KYr7wZm	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
  259 configd	Created        /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4-	
  259 configd	Renamed        /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4-	/private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4 
  259 configd	Modified       /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4	
 8041 xpcproxy	Created        /private/var/tmp/cy-TZXkAU.dylib	
 8041 xpcproxy	Deleted        /private/var/tmp/cy-TZXkAU.dylib	
 8041 xpcproxy	Modified       /private/var/tmp/cy-TZXkAU.dylib	
 8041 xpcproxy	Created        /private/var/tmp/cy-tEmDXW.dylib	
