 4604 xpcproxy	Created        /private/var/tmp/cy-uRTaJn.dylib	
 4604 xpcproxy	Deleted        /private/var/tmp/cy-uRTaJn.dylib	
 4604 xpcproxy	Modified       /private/var/tmp/cy-uRTaJn.dylib	
 4604 xpcproxy	Created        /private/var/tmp/cy-tuthdj.dylib	
 4604 xpcproxy	Deleted        /private/var/tmp/cy-tuthdj.dylib	
 4604 xpcproxy	Modified       /private/var/tmp/cy-tuthdj.dylib	
  697 nsurlstoraged	Created        /private/var/tmp/etilqs_ST6YJb6te6EjiIR	
  697 nsurlstoraged	Deleted        /private/var/tmp/etilqs_ST6YJb6te6EjiIR	
  697 nsurlstoraged	Deleted        /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  697 nsurlstoraged	Created        /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  697 nsurlstoraged	Modified       /private/var/mobile/Library/Caches/com.apple.itunesstored/fsCachedData/F68CB047-3E3B-4930-9407-EA3C7268652A	
  697 nsurlstoraged	Modified       /private/var/tmp/etilqs_ST6YJb6te6EjiIR	
 4550 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.6ahnS05R	
 4550 SpringBoard	Deleted        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116839954250054850099031	
 4550 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.6ahnS05R	
 4550 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.6ahnS05R	
 4550 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.6ahnS05R	
 4550 SpringBoard	Renamed        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.6ahnS05R	/private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116831342523077421097816 
 4550 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.JS6mGEuV	
 4550 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.JS6mGEuV	
 4550 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.JS6mGEuV	
 4550 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.JS6mGEuV	
 4550 SpringBoard	Renamed        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.JS6mGEuV	/private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/13779058012113590735716417680601155579 
 4550 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.YDvq4WF1	
 4550 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.YDvq4WF1	
 4550 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.YDvq4WF1	
 4550 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.YDvq4WF1	
 4550 SpringBoard	Renamed        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.YDvq4WF1	/private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116831342523077421097816 
 4550 SpringBoard	Deleted        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/1377905801211359073515441733390674906362	
 4550 SpringBoard	Deleted        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116831342523077421097816	
 4606 scp	Changed stat   /private/var/root/out.exec	
 4606 scp	Modified       /private/var/root/out.exec	
 4608 xpcproxy	Created        /private/var/tmp/cy-fs3Vjc.dylib	
 4608 xpcproxy	Deleted        /private/var/tmp/cy-fs3Vjc.dylib	
 4608 xpcproxy	Modified       /private/var/tmp/cy-fs3Vjc.dylib	
 4608 xpcproxy	Created        /private/var/tmp/cy-o7pIt1.dylib	
 4608 xpcproxy	Deleted        /private/var/tmp/cy-o7pIt1.dylib	
 4608 xpcproxy	Modified       /private/var/tmp/cy-o7pIt1.dylib	
