 4911 scp	Changed stat   /private/var/root/out.exec	
 4911 scp	Modified       /private/var/root/out.exec	
 4913 xpcproxy	Created        /private/var/tmp/cy-XYdm9s.dylib	
 4913 xpcproxy	Deleted        /private/var/tmp/cy-XYdm9s.dylib	
 4913 xpcproxy	Modified       /private/var/tmp/cy-XYdm9s.dylib	
 4913 xpcproxy	Created        /private/var/tmp/cy-4VJtFk.dylib	
 4913 xpcproxy	Deleted        /private/var/tmp/cy-4VJtFk.dylib	
 4913 xpcproxy	Modified       /private/var/tmp/cy-4VJtFk.dylib	
 4916 out.exec	Changed stat   /private/var/root/run.out	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.indexPostings	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.indexUpdates	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.indexUpdates	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/tmp.spotlight.state	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/tmp.spotlight.state	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/.store.db	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.db	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/.store.db	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.db	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexHead	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexTermIds	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexArrays	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexArrays	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexCompactDirectory	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexCompactDirectory	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexDirectory	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexDirectory	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexGroups	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexGroups	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.shadowIndexHead	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/tmp.spotlight.state	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/tmp.spotlight.state	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.updates	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.updates	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.updates	
  743 searchd	Modified       /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/store.updates	
  743 searchd	Changed stat   /private/var/mobile/Library/Spotlight/CoreSpotlight/NSFileProtectionComplete/index.spotlightV2/live.1.indexUpdates	
 4918 xpcproxy	Created        /private/var/tmp/cy-UPKyDI.dylib	
 4918 xpcproxy	Deleted        /private/var/tmp/cy-UPKyDI.dylib	
 4918 xpcproxy	Modified       /private/var/tmp/cy-UPKyDI.dylib	
 4918 xpcproxy	Created        /private/var/tmp/cy-reZcPf.dylib	
 4918 xpcproxy	Deleted        /private/var/tmp/cy-reZcPf.dylib	
 4918 xpcproxy	Modified       /private/var/tmp/cy-reZcPf.dylib	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.rHZnUrt	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
