 4758 scp	Created        /private/var/root/out.exec	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.r5W3VFr	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.r5W3VFr	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.r5W3VFr	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.r5W3VFr	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
 4758 scp	Changed stat   /private/var/root/out.exec	
 4758 scp	Modified       /private/var/root/out.exec	
 4760 xpcproxy	Created        /private/var/tmp/cy-zdnHzk.dylib	
 4760 xpcproxy	Deleted        /private/var/tmp/cy-zdnHzk.dylib	
 4760 xpcproxy	Modified       /private/var/tmp/cy-zdnHzk.dylib	
 4760 xpcproxy	Created        /private/var/tmp/cy-91HhUV.dylib	
 4760 xpcproxy	Deleted        /private/var/tmp/cy-91HhUV.dylib	
 4760 xpcproxy	Modified       /private/var/tmp/cy-91HhUV.dylib	
 4763 out.exec	Changed stat   /private/var/root/run.out	
 4765 xpcproxy	Created        /private/var/tmp/cy-EuVGSl.dylib	
 4765 xpcproxy	Deleted        /private/var/tmp/cy-EuVGSl.dylib	
 4765 xpcproxy	Modified       /private/var/tmp/cy-EuVGSl.dylib	
 4765 xpcproxy	Created        /private/var/tmp/cy-M7t79A.dylib	
 4765 xpcproxy	Deleted        /private/var/tmp/cy-M7t79A.dylib	
 4765 xpcproxy	Modified       /private/var/tmp/cy-M7t79A.dylib	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.6glL7vo	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.6glL7vo	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.6glL7vo	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.6glL7vo	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.6glL7vo	
